indexid,question_id,formula,status,inorder_term,sorted_term,structure_term,constant_term,variable_term
55,20060400107,y=x+ \frac{1}{x} ,1,"[['=$+$\\$mfrac'], ['=$+$\\', '+$\\$mfrac'], ['=$+', '+$\\', '\\$mfrac']]","[['\\$+$=$mfrac'], ['\\$+$=', '+$=$mfrac'], ['\\$+', '+$=', '=$mfrac'], ['\\', '+', '=', 'mfrac']]",[],['mfrac$mfenced$cn'],"['var', 'mfrac$mrow$var']"
56,20060400107,{x: -5< x<3 },1,"[['mfenced$:$-$lt;', ':$-$lt;$lt;'], ['mfenced$:$-', ':$-$lt;', '-$lt;$lt;'], ['mfenced$:', ':$-', '-$lt;', 'lt;$lt;']]","[['-$:$lt;$lt;', ':$lt;$lt;$mfenced'], ['-$:$lt;', ':$lt;$lt;', 'lt;$lt;$mfenced'], ['-$:', ':$lt;', 'lt;$lt;', 'lt;$mfenced'], ['-', ':', 'lt;', 'lt;', 'mfenced']]","['mfenced$:', 'mfenced$-', 'mfenced$lt;', 'mfenced$lt;']",['mfenced$cn'],['mfenced$var']
57,20060400107,x^2+cx<d,1,"[[], ['msup$+$lt;'], ['msup$+', '+$lt;']]","[[], ['+$lt;$msup'], ['+$lt;', 'lt;$msup'], ['+', 'lt;', 'msup']]",[],['msup$cn'],"['var', 'msup$var']"
58,20070300101,y=k(x-1),1,"[[], ['=$mfenced$-'], ['=$mfenced', 'mfenced$-']]","[[], ['-$=$mfenced'], ['-$=', '=$mfenced'], ['-', '=', 'mfenced']]",['mfenced$-'],['mfenced$cn'],"['var', 'mfenced$var']"
59,20070300101,y=x^2+6x+k,1,"[['=$msup$+$+'], ['=$msup$+', 'msup$+$+'], ['=$msup', 'msup$+', '+$+']]","[['+$+$=$msup'], ['+$+$=', '+$=$msup'], ['+$+', '+$=', '=$msup'], ['+', '+', '=', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
60,20070400103,2x+3y=12,1,"[[], [], ['+$=']]","[[], [], ['+$='], ['+', '=']]",[],['cn'],['var']
61,20070400103,y^2=4x-8,1,"[[], ['msup$=$-'], ['msup$=', '=$-']]","[[], ['-$=$msup'], ['-$=', '=$msup'], ['-', '=', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
62,20080300110,ax^2 + 5x + 2,1,"[[], ['msup$+$+'], ['msup$+', '+$+']]","[[], ['+$+$msup'], ['+$+', '+$msup'], ['+', '+', 'msup']]",[],"['msup$cn', 'cn']","['var', 'msup$var']"
63,20080300110,-5x^2 + bx - 2,1,"[['-$msup$+$-'], ['-$msup$+', 'msup$+$-'], ['-$msup', 'msup$+', '+$-']]","[['-$-$+$msup'], ['-$-$+', '-$+$msup'], ['-$-', '-$+', '+$msup'], ['-', '-', '+', 'msup']]",[],"['cn', 'msup$cn']","['var', 'msup$var']"
64,20080400102,2x^2 -4x+3 =0,1,"[['msup$-$+$='], ['msup$-$+', '-$+$='], ['msup$-', '-$+', '+$=']]","[['-$+$=$msup'], ['-$+$=', '+$=$msup'], ['-$+', '+$=', '=$msup'], ['-', '+', '=', 'msup']]",[],"['cn', 'msup$cn']","['var', 'msup$var']"
65,20080400102,\alpha,1,"[[], [], []]","[[], [], [], ['\\']]",[],[],['var']
66,20080400102,\beta,1,"[[], [], []]","[[], [], [], ['\\']]",[],[],['var']
67,20080400102,\alpha^2 + 2,1,"[[], ['\\$msup$+'], ['\\$msup', 'msup$+']]","[[], ['\\$+$msup'], ['\\$+', '+$msup'], ['\\', '+', 'msup']]",[],"['msup$cn', 'cn']",['msup$var']
